GeneName,CLL_12,CLL_4,CLL_11,CLL_13,CLL_8,CLL_2,CLL_7,CLL_14,CLL_3,CLL_15,CLL_9,CLL_5,CLL_10,CLL_6,CLL_1
29c-3p,912.99,938.87,1845.41,1989.63,2126.87,2213.11,2265.06,2521.49,2567.58,2890.53,3884.29,5152.34,6248.07,7331.49,7507.52
RAG1,1170.7,1219.1,1023.1,1049.7,777.4,746.7,938.7,2249,594.8,1367.2,1205.3,866.2,1339.9,981.3,675.8
